major,major_name,gpa,cert_count,english_test_taken,gender,high_income,high_satisfaction,regular_employment,cohort
6.0,의약,3.8,0.0,0,2.0,1,1,1,2024
2.0,사회,,0.0,1,1.0,1,0,1,2024
4.0,공학,,0.0,0,1.0,0,0,1,2024
2.0,사회,,0.0,0,1.0,1,1,1,2024
4.0,공학,,0.0,0,1.0,0,0,1,2024
4.0,공학,,0.0,1,1.0,0,1,0,2024
5.0,자연,,0.0,0,1.0,1,0,1,2024
2.0,사회,,0.0,0,1.0,0,1,1,2024
2.0,사회,,0.0,0,1.0,0,1,0,2024
2.0,사회,2.8,0.0,0,2.0,0,0,0,2024
1.0,인문,4.123,0.0,0,2.0,1,1,1,2024
5.0,자연,,0.0,0,2.0,1,1,1,2024
1.0,인문,,0.0,0,2.0,0,0,1,2024
7.0,예체능,,0.0,0,1.0,0,0,0,2024
5.0,자연,,0.0,0,2.0,0,1,0,2024
4.0,공학,4.2,0.0,0,2.0,1,1,1,2024
4.0,공학,,0.0,0,1.0,0,1,0,2024
2.0,사회,3.89,0.0,1,2.0,0,0,1,2024
7.0,예체능,4.0,1.0,0,2.0,0,0,1,2024
4.0,공학,2.98,0.0,0,1.0,0,0,1,2024
2.0,사회,,0.0,1,1.0,1,1,1,2024
4.0,공학,,0.0,0,1.0,0,0,1,2024
7.0,예체능,,0.0,1,2.0,0,0,0,2024
3.0,교육,,0.0,1,2.0,0,1,0,2024
4.0,공학,3.38,0.0,1,2.0,0,1,1,2024
1.0,인문,,1.0,0,1.0,0,1,0,2024
2.0,사회,,0.0,0,1.0,0,1,0,2024
,,,0.0,0,1.0,1,1,1,2024
4.0,공학,,0.0,0,1.0,1,1,0,2024
5.0,자연,,0.0,0,2.0,1,1,1,2024
5.0,자연,,0.0,1,2.0,0,0,0,2024
2.0,사회,,0.0,0,2.0,1,1,1,2024
2.0,사회,,0.0,0,2.0,0,0,1,2024
4.0,공학,3.52,3.0,1,2.0,0,0,1,2024
,,,0.0,0,2.0,0,1,1,2024
,,,0.0,0,1.0,0,1,0,2024
6.0,의약,,0.0,0,2.0,0,0,0,2024
7.0,예체능,,0.0,0,1.0,1,0,1,2024
5.0,자연,,0.0,0,2.0,0,0,0,2024
4.0,공학,,0.0,0,1.0,1,1,1,2024
6.0,의약,,0.0,0,2.0,1,0,1,2024
4.0,공학,,0.0,0,1.0,1,0,1,2024
4.0,공학,,0.0,0,1.0,1,1,1,2024
4.0,공학,3.49,0.0,0,1.0,0,0,0,2024
1.0,인문,3.9,0.0,1,2.0,0,1,1,2024
4.0,공학,,0.0,0,2.0,0,1,0,2024
7.0,예체능,,0.0,0,1.0,0,0,0,2024
4.0,공학,,0.0,0,1.0,0,0,1,2024
4.0,공학,,0.0,0,1.0,1,0,1,2024
4.0,공학,,0.0,0,2.0,1,1,0,2024
