major,major_name,gpa,cert_count,english_test_taken,gender,high_income,high_satisfaction,regular_employment,cohort
,,,0.0,1,2.0,0,0,1,2010
,,,0.0,1,2.0,0,1,0,2010
,,,0.0,1,1.0,1,0,1,2010
,,,0.0,1,2.0,1,1,0,2010
4.0,공학,,2.0,1,1.0,0,1,1,2010
,,4.0,0.0,1,2.0,0,0,0,2010
,,,0.0,1,2.0,0,0,1,2010
,,,0.0,1,1.0,0,0,1,2010
,,,0.0,1,1.0,1,0,0,2010
,,,0.0,1,2.0,1,1,1,2010
2.0,사회,,0.0,1,1.0,1,1,1,2010
,,4.2,0.0,1,2.0,0,0,0,2010
,,,0.0,1,2.0,1,1,1,2010
,,2.02,0.0,1,2.0,0,0,1,2010
,,4.0,0.0,1,2.0,1,0,1,2010
,,,0.0,1,2.0,0,0,1,2010
,,,0.0,1,1.0,0,0,0,2010
2.0,사회,,0.0,1,1.0,1,1,1,2010
,,3.4,0.0,1,1.0,1,1,1,2010
,,3.3,0.0,1,2.0,0,1,1,2010
,,,0.0,1,2.0,0,0,1,2010
,,,0.0,1,2.0,0,1,1,2010
5.0,자연,,0.0,1,1.0,0,0,0,2010
,,,0.0,1,1.0,0,0,0,2010
,,2.8,0.0,1,1.0,0,0,1,2010
,,3.0,0.0,1,2.0,1,1,1,2010
,,3.5,0.0,1,2.0,1,0,1,2010
,,4.1,0.0,1,2.0,1,0,1,2010
,,3.5,1.0,1,2.0,0,0,1,2010
,,3.0,0.0,1,2.0,0,0,1,2010
,,,0.0,1,2.0,0,1,1,2010
,,,0.0,1,1.0,0,0,0,2010
3.0,교육,,0.0,1,2.0,1,0,1,2010
,,,0.0,1,2.0,0,0,1,2010
2.0,사회,,0.0,1,1.0,1,1,1,2010
,,3.7,0.0,1,2.0,0,1,1,2010
,,3.0,0.0,1,2.0,1,0,1,2010
,,,0.0,1,2.0,1,1,1,2010
,,,0.0,1,2.0,0,0,1,2010
,,,0.0,1,1.0,0,0,1,2010
,,,0.0,1,2.0,1,1,1,2010
,,,0.0,1,2.0,1,0,1,2010
,,,0.0,1,2.0,1,0,1,2010
,,,0.0,1,1.0,1,0,1,2010
,,,0.0,1,2.0,0,0,1,2010
,,,0.0,1,2.0,0,1,1,2010
6.0,의약,,0.0,1,2.0,0,0,0,2010
,,,0.0,1,1.0,1,0,1,2010
1.0,인문,,0.0,1,1.0,0,1,1,2010
1.0,인문,,0.0,1,2.0,0,1,1,2010
,,,0.0,1,2.0,1,0,1,2010
,,,0.0,1,2.0,0,0,1,2010
2.0,사회,,0.0,1,1.0,0,0,0,2010
,,3.5,0.0,1,1.0,0,0,0,2010
4.0,공학,,0.0,1,1.0,0,0,0,2010
1.0,인문,,0.0,1,1.0,0,0,0,2010
5.0,자연,,0.0,1,1.0,0,1,0,2010
,,,0.0,1,2.0,1,1,1,2010
,,,0.0,1,1.0,0,0,0,2010
,,3.5,0.0,1,1.0,1,1,1,2010
,,,0.0,1,1.0,0,1,1,2010
,,,1.0,1,1.0,0,0,1,2010
2.0,사회,,0.0,1,1.0,0,0,0,2010
4.0,공학,,1.0,1,1.0,0,1,0,2010
4.0,공학,,0.0,1,1.0,0,0,0,2010
,,,0.0,1,2.0,0,1,1,2010
,,,0.0,1,1.0,0,1,0,2010
,,,0.0,1,1.0,0,0,0,2010
4.0,공학,,0.0,1,1.0,1,1,1,2010
2.0,사회,,0.0,1,1.0,0,1,0,2010
,,,0.0,1,2.0,0,1,1,2010
,,,0.0,1,2.0,0,0,1,2010
,,2.8,0.0,1,2.0,1,1,1,2010
,,,0.0,1,2.0,1,1,1,2010
,,4.3,0.0,1,1.0,1,0,1,2010
1.0,인문,,0.0,1,1.0,0,0,0,2010
,,,0.0,1,2.0,0,0,0,2010
,,4.0,0.0,1,1.0,1,1,1,2010
,,,0.0,1,2.0,0,0,1,2010
4.0,공학,,0.0,1,2.0,0,0,0,2010
,,,0.0,1,1.0,1,0,1,2010
2.0,사회,,0.0,1,1.0,1,1,1,2010
,,4.36,0.0,1,2.0,0,0,1,2010
,,,1.0,1,1.0,1,0,1,2010
,,,0.0,1,1.0,1,1,1,2010
,,,0.0,1,1.0,0,0,1,2010
,,,0.0,1,2.0,0,0,1,2010
,,,0.0,1,1.0,1,0,1,2010
,,,0.0,1,1.0,0,0,1,2010
,,,0.0,1,1.0,1,1,1,2010
,,3.5,0.0,1,2.0,0,1,1,2010
,,,0.0,1,2.0,0,0,0,2010
,,,0.0,1,2.0,0,0,0,2010
1.0,인문,,0.0,1,2.0,0,0,1,2010
,,,0.0,1,2.0,0,0,1,2010
,,,0.0,1,1.0,1,0,0,2010
,,4.4,0.0,1,1.0,1,1,1,2010
,,3.8,1.0,1,2.0,0,0,1,2010
,,,1.0,1,1.0,1,0,0,2010
,,3.5,0.0,1,2.0,1,0,1,2010
,,3.5,0.0,1,2.0,0,0,1,2010
,,3.8,0.0,1,2.0,1,1,1,2010
,,3.0,0.0,1,2.0,1,0,1,2010
,,2.8,0.0,1,2.0,1,0,1,2010
,,3.5,0.0,1,2.0,1,0,1,2010
4.0,공학,,0.0,1,1.0,0,1,0,2010
,,,0.0,1,2.0,0,0,1,2010
,,,0.0,1,2.0,0,0,1,2010
,,,0.0,1,2.0,1,0,1,2010
,,3.8,0.0,1,2.0,1,1,1,2010
,,3.7,0.0,1,1.0,0,1,1,2010
,,3.9,0.0,1,2.0,1,0,1,2010
,,,0.0,1,2.0,1,1,1,2010
,,4.1,0.0,1,2.0,0,1,1,2010
,,4.2,0.0,1,2.0,0,1,1,2010
,,3.8,0.0,1,2.0,1,0,1,2010
,,,0.0,1,2.0,0,0,0,2010
,,4.1,0.0,1,1.0,1,0,1,2010
,,,0.0,1,1.0,1,0,1,2010
,,,0.0,1,1.0,0,1,1,2010
,,,0.0,1,1.0,0,0,1,2010
,,3.8,0.0,1,2.0,0,0,1,2010
,,3.7,0.0,1,2.0,0,1,1,2010
,,,0.0,1,2.0,0,0,0,2010
,,,1.0,1,2.0,0,0,1,2010
7.0,예체능,,0.0,1,2.0,0,0,0,2010
,,,0.0,1,2.0,0,0,1,2010
,,,0.0,1,2.0,1,1,1,2010
4.0,공학,,0.0,1,1.0,1,1,0,2010
,,,0.0,1,2.0,1,1,1,2010
,,,0.0,1,2.0,1,1,0,2010
,,4.0,1.0,1,2.0,1,0,0,2010
,,,0.0,1,1.0,0,0,1,2010
,,,0.0,1,2.0,1,1,1,2010
,,3.2,0.0,1,2.0,0,1,0,2010
,,,0.0,1,2.0,1,1,1,2010
,,,0.0,1,1.0,0,1,0,2010
,,,0.0,1,1.0,0,1,0,2010
,,,0.0,1,1.0,0,0,1,2010
4.0,공학,,0.0,1,1.0,1,1,1,2010
,,3.8,0.0,1,1.0,1,0,1,2010
,,,0.0,1,1.0,0,0,1,2010
,,,0.0,1,1.0,1,1,0,2010
,,,0.0,1,2.0,0,1,0,2010
,,,0.0,1,2.0,1,1,1,2010
,,,0.0,1,1.0,0,1,1,2010
,,3.44,1.0,1,2.0,0,0,0,2010
,,,0.0,1,2.0,1,1,1,2010
,,3.8,0.0,1,2.0,1,1,1,2010
,,,0.0,1,2.0,0,0,0,2010
7.0,예체능,,0.0,1,2.0,0,1,0,2010
,,3.16,0.0,1,2.0,0,0,1,2010
,,,0.0,1,2.0,1,0,1,2010
,,,0.0,1,1.0,0,1,1,2010
4.0,공학,,0.0,1,1.0,1,1,1,2010
,,,0.0,1,1.0,1,1,1,2010
,,,0.0,1,1.0,1,1,1,2010
,,3.89,0.0,1,2.0,1,1,1,2010
2.0,사회,,0.0,1,1.0,0,1,1,2010
,,,0.0,1,1.0,0,1,1,2010
,,3.2,0.0,1,2.0,0,0,1,2010
,,,0.0,1,1.0,1,0,1,2010
7.0,예체능,,0.0,1,2.0,0,0,1,2010
,,3.42,0.0,1,2.0,0,0,0,2010
,,,0.0,1,2.0,0,0,1,2010
,,3.5,0.0,1,2.0,0,1,1,2010
,,3.5,0.0,1,2.0,0,0,1,2010
,,3.8,0.0,1,2.0,0,0,1,2010
,,,1.0,1,2.0,1,0,0,2010
